
--- TEST PSYNC PRINT STAT ---

stat: 1 64 21 2 25
stat: 1 64 21 2.4375 50
stat: 1 64 21 1 75
stat: 2 64 21 2 25
stat: 2 64 21 1 50
stat: 2 64 21 1 75
stat: 3 64 21 2 25
stat: 3 64 21 3 50
stat: 3 64 21 1 75
stat: 4 64 21 2 25
stat: 4 64 21 3 50
stat: 4 64 21 1 75
stat: 5 64 21 2 25
stat: 5 64 21 2.59375 50
stat: 5 64 21 1 75
stat: 6 64 21 2 25
stat: 6 64 21 3 50
stat: 6 64 21 1 75
stat: 7 64 21 2 25
stat: 7 64 21 1 50
stat: 7 64 21 1 75
stat: 8 64 21 2 25
stat: 8 64 21 3 50
stat: 8 64 21 1 75
stat: 9 64 21 2 25
stat: 9 64 21 2.375 50
stat: 9 64 21 1 75
stat: 10 64 21 2 25
stat: 10 64 21 2.625 50
stat: 10 64 21 1 75
stat: 11 64 21 2 25
stat: 11 64 21 2.625 50
stat: 11 64 21 1 75
stat: 12 64 21 2 25
stat: 12 64 21 2.75 50
stat: 12 64 21 1 75
stat: 13 64 21 2 25
stat: 13 64 21 2.5625 50
stat: 13 64 21 1 75
stat: 14 64 21 2 25
stat: 14 64 21 3 50
stat: 14 64 21 1 75
stat: 15 64 21 2 25
stat: 15 64 21 2.625 50
stat: 15 64 21 1 75
stat: 16 64 21 2 25
stat: 16 64 21 2.3125 50
stat: 16 64 21 1 75
stat: 17 64 21 2 25
stat: 17 64 21 3 50
stat: 17 64 21 1 75
stat: 18 64 21 2 25
stat: 18 64 21 2.40625 50
stat: 18 64 21 1 75
stat: 19 64 21 2 25
stat: 19 64 21 2.40625 50
stat: 19 64 21 1 75
stat: 20 64 21 2 25
stat: 20 64 21 1 50
stat: 20 64 21 1 75
stat: 21 64 21 2 25
stat: 21 64 21 2.4375 50
stat: 21 64 21 1 75
stat: 22 64 21 2 25
stat: 22 64 21 2.90625 50
stat: 22 64 21 1 75
stat: 23 64 21 2 25
stat: 23 64 21 2.59375 50
stat: 23 64 21 1 75
stat: 24 64 21 2 25
stat: 24 64 21 3 50
stat: 24 64 21 1 75
stat: 25 64 21 2 25
stat: 25 64 21 2.5625 50
stat: 25 64 21 1 75
stat: 26 64 21 2 25
stat: 26 64 21 3 50
stat: 26 64 21 1 75
stat: 27 64 21 2 25
stat: 27 64 21 2.4375 50
stat: 27 64 21 1 75
stat: 28 64 21 2 25
stat: 28 64 21 3 50
stat: 28 64 21 1 75
stat: 29 64 21 2 25
stat: 29 64 21 2.96875 50
stat: 29 64 21 1 75
stat: 30 64 21 2 25
stat: 30 64 21 2.4375 50
stat: 30 64 21 1 75
stat: 31 64 21 2 25
stat: 31 64 21 3 50
stat: 31 64 21 1 75
stat: 32 64 21 2 25
stat: 32 64 21 2.4375 50
stat: 32 64 21 1 75
stat: 33 64 21 2 25
stat: 33 64 21 2.5625 50
stat: 33 64 21 1 75
stat: 34 64 21 2 25
stat: 34 64 21 2.6875 50
stat: 34 64 21 1 75
stat: 35 64 21 2 25
stat: 35 64 21 2.59375 50
stat: 35 64 21 1 75
stat: 36 64 21 2 25
stat: 36 64 21 3 50
stat: 36 64 21 1 75
stat: 37 64 21 2 25
stat: 37 64 21 2.53125 50
stat: 37 64 21 1 75
stat: 38 64 21 2 25
stat: 38 64 21 3 50
stat: 38 64 21 1 75
stat: 39 64 21 2 25
stat: 39 64 21 2.28125 50
stat: 39 64 21 1 75
stat: 40 64 21 2 25
stat: 40 64 21 3 50
stat: 40 64 21 1 75
stat: 41 64 21 2 25
stat: 41 64 21 2.78125 50
stat: 41 64 21 1 75
stat: 42 64 21 2 25
stat: 42 64 21 2.53125 50
stat: 42 64 21 1 75
stat: 43 64 21 2 25
stat: 43 64 21 3 50
stat: 43 64 21 1 75
stat: 44 64 21 2 25
stat: 44 64 21 2.375 50
stat: 44 64 21 1 75
stat: 45 64 21 2 25
stat: 45 64 21 2.59375 50
stat: 45 64 21 1 75
stat: 46 64 21 2 25
stat: 46 64 21 2.5 50
stat: 46 64 21 1 75
stat: 47 64 21 2 25
stat: 47 64 21 2.25 50
stat: 47 64 21 1 75
stat: 48 64 21 2 25
stat: 48 64 21 2.46875 50
stat: 48 64 21 1 75
stat: 49 64 21 2 25
stat: 49 64 21 3 50
stat: 49 64 21 1 75
stat: 50 64 21 2 25
stat: 50 64 21 2.34375 50
stat: 50 64 21 1 75
stat: 51 64 21 2 25
stat: 51 64 21 2.3125 50
stat: 51 64 21 1 75
stat: 52 64 21 2 25
stat: 52 64 21 2.59375 50
stat: 52 64 21 1 75
stat: 53 64 21 2 25
stat: 53 64 21 3 50
stat: 53 64 21 1 75
stat: 54 64 21 2 25
stat: 54 64 21 1 50
stat: 54 64 21 1 75
stat: 55 64 21 2 25
stat: 55 64 21 3 50
stat: 55 64 21 1 75
stat: 56 64 21 2 25
stat: 56 64 21 1 50
stat: 56 64 21 1 75
stat: 57 64 21 2 25
stat: 57 64 21 3 50
stat: 57 64 21 1 75
stat: 58 64 21 2 25
stat: 58 64 21 3 50
stat: 58 64 21 1 75
stat: 59 64 21 2 25
stat: 59 64 21 3 50
stat: 59 64 21 1 75
stat: 60 64 21 2 25
stat: 60 64 21 3 50
stat: 60 64 21 1 75
stat: 61 64 21 2 25
stat: 61 64 21 2.65625 50
stat: 61 64 21 1 75
stat: 62 64 21 2 25
stat: 62 64 21 3 50
stat: 62 64 21 1 75
stat: 63 64 21 2 25
stat: 63 64 21 2.46875 50
stat: 63 64 21 1 75
stat: 64 64 21 2 25
stat: 64 64 21 3 50
stat: 64 64 21 1 75
stat: 65 64 21 2 25
stat: 65 64 21 1 50
stat: 65 64 21 1 75
stat: 66 64 21 2 25
stat: 66 64 21 3 50
stat: 66 64 21 1 75
stat: 67 64 21 2 25
stat: 67 64 21 2.59375 50
stat: 67 64 21 1 75
stat: 68 64 21 2 25
stat: 68 64 21 2.5 50
stat: 68 64 21 1 75
stat: 69 64 21 2 25
stat: 69 64 21 1 50
stat: 69 64 21 1 75
stat: 70 64 21 2 25
stat: 70 64 21 3 50
stat: 70 64 21 1 75
stat: 71 64 21 2 25
stat: 71 64 21 2.5625 50
stat: 71 64 21 1 75
stat: 72 64 21 2 25
stat: 72 64 21 2.375 50
stat: 72 64 21 1 75
stat: 73 64 21 2 25
stat: 73 64 21 3 50
